query,duration
q1-1.sql,65.2538
q1-1.sql,61.5521
q1-1.sql,61.7213
q1-1.sql,61.6422
q1-1.sql,61.6676
q1-2.sql,59.1320
q1-2.sql,59.0884
q1-2.sql,59.1182
q1-2.sql,59.1853
q1-2.sql,59.1855
q1-3.sql,59.1706
q1-3.sql,59.0762
q1-3.sql,59.0199
q1-3.sql,59.0849
q1-3.sql,59.0048
q2-1.sql,69.3836
q2-1.sql,69.3935
q2-1.sql,69.2089
q2-1.sql,69.4557
q2-1.sql,69.5402
q2-2.sql,17.1599
q2-2.sql,17.0624
q2-2.sql,17.0159
q2-2.sql,16.9808
q2-2.sql,16.9818
q2-3.sql,2.3011
q2-3.sql,2.3009
q2-3.sql,2.2883
q2-3.sql,2.2856
q2-3.sql,2.2873
q3-1.sql,105.3661
q3-1.sql,104.4854
q3-1.sql,104.9716
q3-1.sql,105.8936
q3-1.sql,106.2858
q3-2.sql,65.5316
q3-2.sql,65.5606
q3-2.sql,65.6109
q3-2.sql,65.3543
q3-2.sql,65.7637
q3-3.sql,19.3434
q3-3.sql,19.3012
q3-3.sql,19.2582
q3-3.sql,19.2493
q3-3.sql,19.2600
q4-1.sql,106.7291
q4-1.sql,106.8443
q4-1.sql,107.3170
q4-1.sql,106.9533
q4-1.sql,107.7143
q4-2.sql,92.5876
q4-2.sql,91.8767
q4-2.sql,92.2973
q4-2.sql,91.9515
q4-2.sql,91.8554
q4-3.sql,68.0261
q4-3.sql,67.7945
q4-3.sql,67.8716
q4-3.sql,67.6855
q4-3.sql,67.7480
